time_ms,Cts_diff,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734325352114.0,0.0,0.0,0.0,59.0,52.285714285714285
3734325352214.0,0.0,0.0,0.0,59.0,58.857142857142854
3734325352314.0,0.0,0.0,0.0,65.5,58.0
3734325352414.0,0.0,0.0,0.0,57.5,58.857142857142854
3734325352514.0,0.0,0.0,0.0,63.5,58.142857142857146
3734325352614.0,0.0,0.0,0.0,59.0,63.857142857142854
3734325352714.0,0.0,0.0,0.0,61.0,55.42857142857143
3734325352814.0,0.0,0.0,0.0,59.5,56.0
3734325352914.0,0.0,0.0,0.0,58.0,56.42857142857143
3734325353014.0,0.0,0.0,0.0,55.5,58.857142857142854
3734325353114.0,0.0,0.0,0.0,48.5,56.285714285714285
3734325353214.0,0.0,0.0,0.0,57.5,59.285714285714285
3734325353314.0,0.0,0.0,0.0,55.0,59.42857142857143
3734325353414.0,0.0,0.0,0.0,59.5,62.0
3734325353514.0,0.0,0.0,0.0,58.0,58.714285714285715
3734325353614.0,0.0,0.0,0.0,56.0,56.285714285714285
3734325353714.0,0.0,0.0,0.0,57.0,55.42857142857143
3734325353814.0,0.0,0.0,0.0,56.5,57.57142857142857
3734325353914.0,0.0,0.0,0.0,59.5,56.714285714285715
3734325354014.0,0.0,0.0,0.0,59.0,58.57142857142857
3734325354114.0,0.0,0.0,0.0,52.0,58.42857142857143
3734325354214.0,0.0,0.0,0.0,55.0,56.857142857142854
3734325354314.0,0.0,0.0,0.0,55.5,57.142857142857146
3734325354414.0,0.0,0.0,0.0,56.5,53.142857142857146
3734325354514.0,0.0,0.0,0.0,52.5,59.285714285714285
3734325354614.0,0.0,0.0,0.0,54.0,54.0
3734325354714.0,0.0,0.0,0.0,54.5,55.857142857142854
3734325354814.0,0.0,0.0,0.0,57.5,54.42857142857143
3734325354914.0,0.0,0.0,0.0,54.5,55.857142857142854
3734325355014.0,0.0,0.0,0.0,56.5,56.857142857142854
3734325355114.0,0.0,0.0,0.0,57.0,56.857142857142854
3734325355214.0,0.0,0.0,0.0,58.5,55.0
3734325355314.0,0.0,0.0,0.0,57.0,58.0
3734325355414.0,0.0,0.0,0.0,52.0,57.857142857142854
3734325355514.0,0.0,0.0,0.0,56.0,56.142857142857146
3734325355614.0,0.0,0.0,0.0,57.5,56.285714285714285
3734325355714.0,0.0,0.0,0.0,60.5,56.0
3734325355814.0,0.0,0.0,0.0,54.0,58.285714285714285
3734325355914.0,0.0,0.0,0.0,57.5,53.42857142857143
3734325356014.0,0.0,0.0,0.0,50.0,53.142857142857146
3734325356114.0,0.0,0.0,0.0,55.5,55.857142857142854
3734325356214.0,0.0,0.0,0.0,54.5,50.714285714285715
3734325356314.0,0.0,0.0,0.0,54.5,54.0
3734325356414.0,0.0,0.0,0.0,55.0,53.714285714285715
3734325356514.0,0.0,0.0,0.0,59.0,51.285714285714285
3734325356614.0,0.0,0.0,0.0,59.0,51.714285714285715
3734325356714.0,0.0,0.0,0.0,56.5,52.42857142857143
3734325356814.0,0.0,0.0,0.0,53.5,52.714285714285715
3734325356914.0,0.0,0.0,0.0,55.5,55.857142857142854
